seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6532,0.2783,0.3912,0.3858,0.3871,0.3912,0.5691
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.5948,0.2655,0.3634,0.3609,0.3592,0.3634,0.5432
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6517,0.2874,0.3882,0.3849,0.3841,0.3882,0.5601
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6520,0.2834,0.3911,0.3903,0.3870,0.3911,0.5686
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6529,0.2810,0.3945,0.3843,0.3905,0.3945,0.5606
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6035,0.2682,0.3604,0.3562,0.3561,0.3604,0.5424
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6538,0.2798,0.3937,0.3866,0.3898,0.3937,0.5646
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6550,0.2787,0.3918,0.3888,0.3878,0.3918,0.5712
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6526,0.2773,0.3866,0.3873,0.3826,0.3866,0.5705
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6413,0.2790,0.3742,0.3776,0.3699,0.3742,0.5642
