seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6180,0.3082,0.3663,0.3716,0.3611,0.3663,0.5477
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6174,0.3029,0.3680,0.3727,0.3628,0.3680,0.5498
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6279,0.3264,0.3684,0.3846,0.3634,0.3684,0.5582
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.5951,0.3034,0.3616,0.3701,0.3564,0.3616,0.5417
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6228,0.3136,0.3723,0.3745,0.3672,0.3723,0.5473
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6177,0.3104,0.3677,0.3711,0.3626,0.3677,0.5441
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6505,0.3115,0.3845,0.3832,0.3797,0.3845,0.5634
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6404,0.3290,0.3892,0.3843,0.3840,0.3892,0.5545
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6261,0.3253,0.3612,0.3802,0.3562,0.3612,0.5592
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6008,0.3009,0.3570,0.3713,0.3518,0.3570,0.5454
