seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6523,0.2812,0.3859,0.3853,0.3818,0.3859,0.5590
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6553,0.2848,0.3875,0.3897,0.3835,0.3875,0.5615
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6514,0.2812,0.3816,0.3838,0.3775,0.3816,0.5605
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6523,0.2832,0.3831,0.3830,0.3792,0.3831,0.5583
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6553,0.2858,0.3942,0.3883,0.3903,0.3942,0.5590
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6493,0.2816,0.3800,0.3823,0.3760,0.3800,0.5579
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6541,0.2837,0.3868,0.3873,0.3828,0.3868,0.5625
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6541,0.2847,0.3865,0.3856,0.3826,0.3865,0.5583
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6490,0.2768,0.3780,0.3842,0.3741,0.3780,0.5650
seed:0, lambda1:1, lambda2:0.1, spatial_k:9, adj_k:20, wieght_list:[1, 1, 1, 1, 1, 1], 0.6532,0.2847,0.3859,0.3835,0.3819,0.3859,0.5566
